rec0b20RnoY9ukEoO	recdTkpiXw3CYYYCh
rec0dXtdewDdpejdC	recQtkM3bU8iZQgo2
rec0fWSfoVqFNb1dD	recjz0RBFDir41p2u
rec0g9MLEDVajIW9i	recAOITbLJPVza7Dw
rec0htKUHXKAXhdGb	recdXR3n0IHLWXSDZ
rec0inrzXyI3Ba6On	rec6Nj7u04w8Snobt
rec0mbvl8AMdIaViB	recxHDZu8Nu2qhFNl
rec0nTS3mtZBNjn9y	recSY45toLam4n1Bq
rec0rTVWUCfYOTkG7	rec3YV4RskW9hlQ3A
rec0rvV3qcWeILDHU	rec3d3dN91cBdZMEX
rec0sOfe7oGJBrxO1	recBRNGcYhIUGsOtV
rec0vmEyZeamRkdxD	rec2appnTMmbbs84e
rec0yGhCo8AzrOox9	recdyJYAXExgPf64h
rec0z4MFfoWebXCN0	recIWk6qwudP6evwi
rec103Dsvy3lvkVUn	recWIJuiO0TsonLcW
rec112EFlZZko49lM	recARf8GNXsoImKsD
rec11lv13RM0DkkaU	recIF746RX3RwLSog
rec12PylKG364ijoL	recD70pNHrMzHn3gA
rec12Y4sW1yK518nK	recd8bxsiM2OAHhWc
rec13I8lkPBa4SKhR	rec71xjOlt9DVXWRP
rec14nE5TX1zeI79z	rectQ6SSQ2tZ8RVdA
rec17P7tTXWFFmV1B	recGhd4LAatasEbfv
rec17eeYW710AvFZ0	recWrrCFFw9zHc6rz
rec18ErcE0X5A4rqz	recQtkM3bU8iZQgo2
rec1AYeGLLdfwP4Qq	recFLO2cnwrKsH6Jz
rec1FQvizGC2xw4rg	recRkow0bT7MFRaxF
rec1Ia86MaUH16q1m	recYo4bMBBx6kK7kE
rec1J9AzkV2msE4Gn	rec4xVswl9wuRidM6
rec1LFbwPtownHHhy	recQpRUh9SuGqaZC0
rec1MiGpIl4Lvajm9	recAMrvzBMQbDquWL
rec1S4kdMbU5bWD9O	recu9x0dFNPqt7QPJ
rec1S7eZfKNQQ3ybp	recxk449sKUbsUyDF
rec1SKk7LLmjDGSDA	recwvaAbXXb3za4SW
rec1WCFY574wOa9Pe	recsK7OoU61xHi9Nr
rec1Wq1fAxs0klnn0	recPCsSheYWrH1Abw
rec1ZG1oiYoeeusLk	recLkCU84lpcGliQ6
rec1anphdASRvKdCl	reclWRP45IoN0dC1j
rec1c183sA8nHIDOi	recW0zFC2sCtezGnu
rec1dfziFsjC11wuN	rec99HiKqclSQtodQ
rec1fc0CXxYahdAnK	rec3B9VmcNiiLiCmM
rec1g5JDWDIlTFLdM	rec8JtgpOoXQDgxvt
rec1gx01iVmcjZaSe	recIB3EiWQPj2nBVH
rec1iZejI5agpKJfd	recPASU0Nj7YyFSP7
rec1jPVNKMCZRJlop	rec89J9fO4KTpFh0a
rec1kotpnniTHxS5I	rectyRdCxn5yc5lUo
rec1kzvUyFs0fji0u	recL6MXlgUdj1azFP
rec1mRfHWXR87Wac6	recIR4rVkVrXbddWx
rec1mkEj9OVaeeX70	rec6EPKD9nndEKvLA
rec1nJioKdlWgLUzs	recY87m03tY3dm9J2
rec1qz6TSrQogBd5j	recCwaGiG01QkStTq
rec1tcJolVBVLaqa3	recAFWYeezZTzae5N
rec1uFWv35zoR28SX	recnbiHvGaSBzY9wB
rec1uwoO5P69WkPqj	recQMgeAmz0aqQ4n9
rec1v18R49Oqj6bIf	recCpkLEPbf4ITkeg
rec1wNtrgDnNwkx7f	recMbCpFuk0bBv7eB
rec1xj2LyEv7QABJo	recCant0teiTPUCr7
rec1yp9XMMqrclmcw	rec6QtHHhHrgEoCTJ
rec1zKgguD1NjP6bU	rec49MvwMct8PIQUG
rec20JaHPqZ94NgK6	rec1EMJHl55PydRgn
rec20sjnI6WdnW4NZ	recPxK92CTlKdVDi5
rec279ZIZ9sswF5hZ	recB3fMsoGyuTkwBd
rec27r7CQvlml6OHO	recnTmzuXfSuvRrs6
rec2Aku3w0IFzY9FX	recdZYQo4nxpkxRux
rec2Cj3D4Oh9giG54	rectecgMwd6chY6RN
rec2CyUgqQom4ik4V	recDXckYDZ5bl4nc1
rec2EqrOQgidyHCRS	recuE53WZC3a4wwiO
rec2FRgrA5WThTVLE	recAWeHPmaih193ro
rec2G9aXp7FZ49WR9	recNQi4bIhYmL4H9C
rec2IprmbmC4Wh8mO	rechDBhDD2D7BGD6d
rec2JvBgL5pc8va10	recgoD4tv32aYvc9H
rec2LL5wem4VBHIdE	recfhhCg44JdWbbCK
rec2MAb2YaxM41aEw	recsnXdMTQMOkkoMW
rec2MmlMoterNCHNA	recGxzX3gWk7v3GC3
rec2NVK50H7AZH54S	recRWrrl78TvJF9MO
rec2Pi9RYLjA1TRSh	recEyYeZUJacMGjnY
rec2RDQOVV4hS26fR	recbJ7PAcnFhRgJ1G
rec2SBnbNgZfSWeLA	rec6RnQosf6wVQD3C
rec2SFe3NA5QBwecW	recm1tQIyHysiLHP9
rec2TjmoUQPeh2M1S	rechCAqx3isriMr2P
rec2UJQSN6LQI9he2	recFLO2cnwrKsH6Jz
rec2WADpUG4JRihPV	recYADAKP1mWKRRmS
rec2bFwH48SnT6vtl	recAlLVaCnwem42wd
rec2bWPrx7QYfu7rr	recWkZw8vCSOxIpzs
rec2bl1Z2TDeyV5j0	recAhda0gjHiIjO0H
