Category,Topic/Question,Application,App Rate (All/Recent),App Quality,Standard Census,Std Rate (All/Recent),Std Quality,MDS-only Census,MDS Rate (All/Recent),MDS Quality,Overlap,Recommendation,Notes
Identity,Full name,Full name,100%/100%,OK,Full name,100%/100%,OK,Full name,86%/92%,OK,ALL 3,KEEP in both,Required identifier
Identity,Email,Email,53%/44%,OK,Email,100%/100%,OK,Email,86%/92%,OK,ALL 3,KEEP in both,App email question underused; hidden field captures it
Identity,Birthdate,Birthdate,98%/100%,OK,,,,,,,App only,KEEP in App,Personal info; one-time
Identity,Mailing address,Address (5 fields),95%/97%,OK,,,,,,,App only,KEEP in App,Swag/membership kit shipping
Identity,Address line 2,Addr line 2,29%/32%,OK,,,,,,,App only,KEEP in App,Optional; 32% is normal for apt/suite
Identity,Previous role,Previous role,100%/100%,OK,,,,,,,App only,KEEP in App,Good vetting context
Identity,Formal title/role,Official role,100%/100%,OK,Formal title,100%/100%,OK,,,,App+Std,"KEEP in App, REMOVE from Census",Rarely changes
Identity,Day to day responsibilities,,,,Responsibilities,100%/100%,OK,,,,Std only,MOVE to App,Doesn't change often; better at application
Identity,Fun fact,Fun fact,100%/100%,OK,,,,,,,App only,KEEP in App,Community building
Identity,Upload photo,Photo upload,65%/60%,OK,,,,,,,App only,KEEP in App,60% is acceptable
Identity,How many kids,,,,Kids count,80%/100%,"JUNK-troll values (999, 99999)",,,,Std only,CONSIDER REMOVING,"Some troll values (999, 99999); otherwise nice but not actionable"
Identity,Kids age ranges,,,,Age ranges,52%/69%,OK,,,,Std only,REMOVE,Low response; not actionable
Business,Expertise area,Expertise,100%/100%,OK,Expertise,100%/100%,OK,,,,App+Std,"KEEP in App, REMOVE from Census",Doesn't change often
Business,Business models (PL/WS/Agency/OEM),Models (checkboxes),78%/76%,OK,Models (checkboxes),90%/89%,OK,,,,App+Std,KEEP in BOTH,Can change yearly
Business,Number of brands,# brands,98%/97%,OK,# brands,100%/100%,OK,,,,App+Std,KEEP in BOTH,Changes annually
Business,Brand name(s),,,,Brand names,69%/92%,OK,,,,Std only,KEEP in Census,Changes as members add brands
Business,Number of products,# products,98%/97%,OK,# products,100%/100%,OK,,,,App+Std,KEEP in BOTH,Changes annually
Business,Product categories (10 options),Categories,~9-44%/each,OK-checkbox,Categories,~7-42%/each,OK-checkbox,,,,App+Std,KEEP in BOTH,Multi-check; low per-option is normal
Business,Year started selling,Year started,97%/97%,OK,,,,,,,App only,KEEP in App,One-time info
Business,Main niche,,,,Main niche,100%/100%,OK,,,,Std only,KEEP in Census,Good for segmentation
Business,Current involvement in ecom,,,,,,,Involvement level,62%/100%,OK,MDS only,KEEP in Census,Filters exited members
Business,Partner/spouse of member?,Partner check,100%/100%,OK,,,,,,,App only,KEEP in App,Membership policy
Business,Actively acquiring ecom businesses?,Acquiring?,98%/97%,OK,,,,,,,App only,CONSIDER REMOVING,82% say No; low signal
Revenue,Channel revenue % matrix (8-9 channels),Revenue % matrix,98%/97%,OK,Revenue % matrix,100%/100%,OK,,,,App+Std,SIMPLIFY: reduce to 5 channels,"Niche channels 70%+ N/A. Keep: Amazon US, EU, Walmart, DTC, Wholesale"
Revenue,TTM revenue,TTM revenue,98%/97%,OK,TTM revenue,80%/95%,OK,,,,App+Std,KEEP in BOTH,Key metric
Revenue,Projected FTM revenue,FTM revenue,98%/97%,OK,FTM revenue,78%/95%,OK,,,,App+Std,KEEP in BOTH,Key metric
Revenue,Individual channel $ (TikTok/Amazon/DTC),Channel $,1-3%/2-3%,OK,,,,,,,App only,REMOVE,2-3% response rate; nobody fills these
Revenue,What channels selling on? (checkboxes),Channels,1-2%/2-3%,OK,,,,,,,App only,REMOVE,Redundant with % matrix; <3% response
Revenue,Purchased ecom brand?,Purchased?,98%/97%,OK,Purchased?,100%/100%,OK,,,,App+Std,KEEP in App only,One-time Q; 82% No
Revenue,Sold ecom brand?,Sold?,98%/97%,OK,Sold?,100%/100%,OK,,,,App+Std,KEEP in BOTH,Can change year to year
Revenue,When did you sell?,,,,When sold?,31%/32%,OK,,,,Std only,KEEP in Census,Conditional follow-up
Revenue,Still have ecom revenue?,,,,Still rev?,26%/32%,OK,,,,Std only,KEEP in Census,Conditional follow-up
Revenue,Plan to sell in next 12 months?,Plan to sell?,98%/97%,OK,Plan to sell?,90%/100%,OK,,,,App+Std,KEEP in Census only,Annual update Q
Revenue,YoY change matrix (16 metrics),,,,,,,YoY matrix,20%/18%,OK,MDS only,REMOVE or SIMPLIFY to 3-4,Only 18% fill it; 16 sub-Qs is way too many
Revenue,Cost per CBM,,,,,,,CBM cost,60%/97%,OK,MDS only,KEEP in Census,Useful benchmarking for importers
Operations,Warehousing/fulfillment (FBA/3PL/etc),,,,,,,FBA/3PL/In-house,87%/87%,OK,MDS only,KEEP in Census,Useful operational data
Operations,Marketing matrix (in-house/agency × channel),,,,,,,Marketing matrix,98%/97%,OK,MDS only,KEEP but SIMPLIFY,TV/Podcast/Radio mostly N/A — remove those
